episode,timestep,result,own_alive,enemy_alive,ep_steps,ep_reward,kills,deaths,act_hold,act_nav,act_frenzy,act_retreat,act_zone,act_split,act_merge,act_aggro,win_rate_100,avg_survivors_100,avg_ep_len_100,stage,timestamp
177,1739,WIN,1,0,11,11.0200,50,49,4,4,3,0,0,0,0,0,0.480,2.2,9.8,1,23:50:20
178,1749,WIN,2,0,10,11.1600,50,48,3,3,4,0,0,0,0,0,0.490,2.2,9.8,1,23:50:27
179,1758,WIN,3,0,9,11.3000,50,47,1,6,2,0,0,0,0,0,0.500,2.2,9.8,1,23:50:33
180,1768,LOSS,0,2,10,-9.2000,48,50,6,1,3,0,0,0,0,0,0.490,2.2,9.8,1,23:50:40
181,1778,WIN,1,0,10,11.0300,50,49,4,2,4,0,0,0,0,0,0.490,2.2,9.8,1,23:50:47
182,1788,LOSS,0,2,10,-9.2000,48,50,4,2,4,0,0,0,0,0,0.490,2.2,9.8,1,23:50:54
183,1797,WIN,3,0,9,11.3000,50,47,7,0,2,0,0,0,0,0,0.500,2.2,9.8,1,23:51:01
184,1807,WIN,2,0,10,11.1600,50,48,3,3,4,0,0,0,0,0,0.510,2.2,9.8,1,23:51:08
185,1816,WIN,3,0,9,11.3000,50,47,2,4,3,0,0,0,0,0,0.520,2.2,9.8,1,23:51:14
186,1827,WIN,2,0,11,11.1500,50,48,3,3,5,0,0,0,0,0,0.520,2.2,9.8,1,23:51:22
187,1837,WIN,2,0,10,11.1600,50,48,4,4,2,0,0,0,0,0,0.520,2.2,9.8,1,23:51:29
188,1847,WIN,2,0,10,11.1600,50,48,4,5,1,0,0,0,0,0,0.520,2.2,9.8,1,23:51:36
189,1857,LOSS,0,1,10,-9.1500,49,50,2,4,4,0,0,0,0,0,0.520,2.2,9.8,1,23:51:43
190,1868,LOSS,0,1,11,-9.1600,49,50,4,5,2,0,0,0,0,0,0.520,2.2,9.8,1,23:51:50
191,1877,LOSS,0,3,9,-9.2400,47,50,3,4,2,0,0,0,0,0,0.520,2.2,9.8,1,23:51:57
192,1887,LOSS,0,2,10,-9.2000,48,50,3,2,5,0,0,0,0,0,0.520,2.2,9.8,1,23:52:04
193,1898,WIN,1,0,11,11.0200,50,49,2,7,2,0,0,0,0,0,0.530,2.1,9.9,1,23:52:11
194,1908,WIN,1,0,10,11.0300,50,49,5,0,5,0,0,0,0,0,0.540,2.1,9.9,1,23:52:18
195,1919,WIN,1,0,11,11.0200,50,49,6,3,2,0,0,0,0,0,0.550,2.1,9.9,1,23:52:26
196,1929,WIN,2,0,10,11.1600,50,48,3,4,3,0,0,0,0,0,0.550,2.1,9.9,1,23:52:33
197,1938,WIN,1,0,9,11.0400,50,49,1,6,2,0,0,0,0,0,0.560,2.1,9.9,1,23:52:39
198,1947,WIN,3,0,9,11.3000,50,47,5,2,2,0,0,0,0,0,0.560,2.1,9.9,1,23:52:46
199,1957,LOSS,0,1,10,-9.1500,49,50,4,3,3,0,0,0,0,0,0.560,2.1,9.9,1,23:52:53
200,1966,LOSS,0,2,9,-9.1900,48,50,3,4,2,0,0,0,0,0,0.560,2.1,9.8,1,23:52:59
201,1976,LOSS,0,2,10,-9.2000,48,50,3,4,3,0,0,0,0,0,0.560,2.1,9.8,1,23:53:06
202,1986,LOSS,0,2,10,-9.2000,48,50,3,1,6,0,0,0,0,0,0.560,2.1,9.8,1,23:53:13
203,1995,LOSS,0,3,9,-9.2400,47,50,4,3,2,0,0,0,0,0,0.560,2.1,9.8,1,23:53:19
204,2005,WIN,2,0,10,11.1600,50,48,4,4,2,0,0,0,0,0,0.570,2.1,9.8,1,23:53:26
205,2016,WIN,2,0,11,11.1500,50,48,3,0,8,0,0,0,0,0,0.570,2.0,9.9,1,23:53:34
206,2025,WIN,3,0,9,11.3000,50,47,2,3,4,0,0,0,0,0,0.570,2.0,9.9,1,23:53:40
207,2035,WIN,2,0,10,11.1600,50,48,2,4,4,0,0,0,0,0,0.570,2.0,9.9,1,23:53:47
208,2044,LOSS,0,1,9,-9.1400,49,50,2,3,4,0,0,0,0,0,0.560,2.1,9.8,1,23:53:54
209,2052,LOSS,0,2,8,-9.1800,48,50,1,3,4,0,0,0,0,0,0.550,2.0,9.8,1,23:54:00
210,2053,LOSS,0,2,1,-0.0100,48,50,0,0,1,0,0,0,0,0,0.540,2.0,9.8,1,23:54:02
211,2064,WIN,2,0,11,11.1500,50,48,7,3,1,0,0,0,0,0,0.550,2.0,9.8,1,23:54:09
212,2065,WIN,2,0,1,10.1900,50,48,0,0,1,0,0,0,0,0,0.560,2.0,9.7,1,23:54:11
213,2076,LOSS,0,1,11,-9.1600,49,50,4,2,5,0,0,0,0,0,0.560,2.0,9.7,1,23:54:19
214,2077,LOSS,0,1,1,-0.0100,49,50,0,1,0,0,0,0,0,0,0.550,2.0,9.6,1,23:54:20
215,2088,WIN,1,0,11,11.0200,50,49,4,1,6,0,0,0,0,0,0.550,2.0,9.6,1,23:54:28
216,2089,WIN,1,0,1,10.0900,50,49,0,0,1,0,0,0,0,0,0.560,2.0,9.5,1,23:54:30
